Tm,W,L,WinP_Tm,player_id,salary,player_name,Age,Pos,G,GS,MP,TrV,EFF,Tm_use_total,eFGp,PTS_per_MP,PTS_per_game,TRB_MP,TRB,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FTF,Tm_FGA,Tm_MP,Tm_FTA,Tm_G,Tm_TOV,ASTTOVR,FG_MP,FGA_MP,FGp_MP,X3P_MP,X3PA_MP,X3Pp_MP,X2P_MP,X2PA_MP,X2Pp_MP,FT_MP,FTA_MP,FTp_MP,ORB_MP,DRB_MP,AST_MP,STL_MP,BLK_MP,TOV_MP,PF_MP,FTF_MP,Creds,ApproxV,TOT
MIL,60,22,73.17073170731707,238,10577466,John Henson,28,C,14,0,188,144.2414,141.1429,0.1858,0.5448,0.4202,5.6429,0.3777,71,31,67,0.4627,11,31,0.3548,20,36,0.5556,6,10,0.6,16,55,14,7,11,12,16,79,0.1493,7471,19780,1904,82,1137,1.1667,0.1649,0.3564,0.0025,0.0585,0.1649,0.0019,0.1064,0.1915,0.003,0.0319,0.0532,0.0032,0.0851,0.2926,0.0745,0.0372,0.0585,0.0638,0.0851,8e-4,130,1.8333,nonTOT
MIL,60,22,73.17073170731707,335,3382000,Brook Lopez,30,C,81,81,2322,446.3392,1279.9877,0.1671,0.5706,0.4345,12.4568,0.1705,396,355,786,0.4517,187,512,0.3652,168,274,0.6131,112,133,0.8421,33,363,98,51,179,82,189,1009,0.1692,7471,19780,1904,82,1137,1.1951,0.1529,0.3385,2e-4,0.0805,0.2205,2e-4,0.0724,0.118,3e-4,0.0482,0.0573,4e-4,0.0142,0.1563,0.0422,0.022,0.0771,0.0353,0.0814,1e-4,1199,9.7028,nonTOT
GSW,57,25,69.51219512195121,47,1378242,Jordan Bell,24,C,68,3,788,374.3864,444.3824,0.1367,0.5156,0.283,3.2794,0.2335,184,99,192,0.5156,0,2,0,99,190,0.5211,25,41,0.6098,55,129,76,20,51,42,80,223,0.2135,7361,19805,1672,82,1169,1.8095,0.1256,0.2437,7e-4,0,0.0025,0,0.1256,0.2411,7e-4,0.0317,0.052,8e-4,0.0698,0.1637,0.0964,0.0254,0.0647,0.0533,0.1015,3e-4,403,4.2831,nonTOT
GSW,57,25,69.51219512195121,64,486892,Andrew Bogut,34,C,11,5,134,48.037,97.2727,0.1446,0.5,0.291,3.5455,0.4104,55,18,36,0.5,0,0,0,18,36,0.5,3,3,1,12,43,11,3,8,8,22,39,0.0833,7361,19805,1672,82,1169,1.375,0.1343,0.2687,0.0037,0,0,0,0.1343,0.2687,0.0037,0.0224,0.0224,0.0075,0.0896,0.3209,0.0821,0.0224,0.0597,0.0597,0.1642,6e-4,90,1.3914,nonTOT
GSW,57,25,69.51219512195121,123,5337000,DeMarcus Cousins,28,C,30,30,771,387.9654,692.6,0.2808,0.5148,0.6329,16.2667,0.3204,247,178,371,0.4798,26,95,0.2737,152,276,0.5507,106,144,0.7361,43,204,107,40,44,72,109,488,0.3881,7361,19805,1672,82,1169,1.4861,0.2309,0.4812,6e-4,0.0337,0.1232,4e-4,0.1971,0.358,7e-4,0.1375,0.1868,0.001,0.0558,0.2646,0.1388,0.0519,0.0571,0.0934,0.1414,5e-4,623,5.9381,nonTOT
GSW,57,25,69.51219512195121,293,1544951,Damian Jones,23,C,24,22,410,265.8623,235.3333,0.1108,0.7162,0.3171,5.4167,0.1829,75,53,74,0.7162,0,0,0,53,74,0.7162,24,37,0.6486,31,44,28,12,25,16,63,130,0.5,7361,19805,1672,82,1169,1.75,0.1293,0.1805,0.0017,0,0,0,0.1293,0.1805,0.0017,0.0585,0.0902,0.0016,0.0756,0.1073,0.0683,0.0293,0.061,0.039,0.1537,0.0012,220,2.7202,nonTOT
GSW,57,25,69.51219512195121,333,1567007,Kevon Looney,22,C,80,24,1481,608.9918,968.3625,0.1282,0.6268,0.3376,6.25,0.2816,417,217,347,0.6254,1,10,0.1,216,337,0.6409,65,105,0.619,194,223,123,46,53,51,211,500,0.3026,7361,19805,1672,82,1169,2.4118,0.1465,0.2343,4e-4,7e-4,0.0068,1e-4,0.1458,0.2275,4e-4,0.0439,0.0709,4e-4,0.131,0.1506,0.0831,0.0311,0.0358,0.0344,0.1425,2e-4,918,7.9417,nonTOT
TOR,58,24,70.73170731707317,263,21666667,Serge Ibaka,29,C,74,51,2010,512.3299,1487.4595,0.2286,0.557,0.5532,15.027,0.299,601,464,877,0.5291,49,169,0.2899,415,708,0.5862,135,177,0.7627,156,445,99,29,103,114,211,1112,0.2018,7305,19880,1803,82,1150,0.8684,0.2308,0.4363,3e-4,0.0244,0.0841,1e-4,0.2065,0.3522,3e-4,0.0672,0.0881,4e-4,0.0776,0.2214,0.0493,0.0144,0.0512,0.0567,0.105,1e-4,1375,10.7525,nonTOT
UTA,50,32,60.97560975609756,71,1679520,Tony Bradley,21,C,3,0,36,61.2613,27,0.2361,0.5,0.4722,5.6667,0.4167,15,8,16,0.5,0,0,0,8,16,0.5,1,2,0.5,9,6,1,2,2,3,6,17,0.125,7082,19755,2092,82,1240,0.3333,0.2222,0.4444,0.0139,0,0,0,0.2222,0.4444,0.0139,0.0278,0.0556,0.0139,0.25,0.1667,0.0278,0.0556,0.0556,0.0833,0.1667,0.0035,25,0.5324,nonTOT
UTA,50,32,60.97560975609756,175,16900000,Derrick Favors,27,C,76,70,1766,574.5401,1376.8947,0.1945,0.6002,0.5079,11.8026,0.3171,560,363,619,0.5864,17,78,0.2179,346,541,0.6396,154,228,0.6754,207,353,89,56,106,84,163,897,0.3683,7082,19755,2092,82,1240,1.0595,0.2055,0.3505,3e-4,0.0096,0.0442,1e-4,0.1959,0.3063,4e-4,0.0872,0.1291,4e-4,0.1172,0.1999,0.0504,0.0317,0.06,0.0476,0.0923,2e-4,1294,10.2738,nonTOT
