Tm,W,L,WinP_Tm,player_id,salary,player_name,Age,Pos,G,GS,MP,TrV,EFF,Tm_use_total,eFGp,PTS_per_MP,PTS_per_game,TRB_MP,TRB,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FTF,Tm_FGA,Tm_MP,Tm_FTA,Tm_G,Tm_TOV,ASTTOVR,FG_MP,FGA_MP,FGp_MP,X3P_MP,X3PA_MP,X3Pp_MP,X2P_MP,X2PA_MP,X2Pp_MP,FT_MP,FTA_MP,FTp_MP,ORB_MP,DRB_MP,AST_MP,STL_MP,BLK_MP,TOV_MP,PF_MP,FTF_MP,Creds,ApproxV,TOT
MIL,60,22,73.17073170731707,77,1544951,Malcolm Brogdon,26,SG,64,64,1832,566.8405,1170.5781,0.2071,0.5749,0.5464,15.6406,0.1572,288,378,748,0.5053,104,244,0.4262,274,504,0.5437,141,152,0.9276,65,223,205,46,13,91,102,1001,0.2032,7471,19780,1904,82,1137,2.2527,0.2063,0.4083,3e-4,0.0568,0.1332,2e-4,0.1496,0.2751,3e-4,0.077,0.083,5e-4,0.0355,0.1217,0.1119,0.0251,0.0071,0.0497,0.0557,1e-4,1081,8.9774,nonTOT
MIL,60,22,73.17073170731707,82,1378242,Sterling Brown,23,SG,58,7,1034,411.8727,492.2069,0.1525,0.5497,0.3598,6.4138,0.1779,184,145,312,0.4647,53,147,0.3605,92,165,0.5576,29,42,0.6905,29,155,84,25,8,46,88,372,0.1346,7471,19780,1904,82,1137,1.8261,0.1402,0.3017,4e-4,0.0513,0.1422,3e-4,0.089,0.1596,5e-4,0.028,0.0406,7e-4,0.028,0.1499,0.0812,0.0242,0.0077,0.0445,0.0851,1e-4,447,4.6293,nonTOT
MIL,60,22,73.17073170731707,120,1641000,Pat Connaughton,26,SG,61,2,1261,439.8413,660.459,0.1331,0.56,0.3339,6.9016,0.2046,258,163,350,0.4657,66,200,0.33,97,150,0.6467,29,40,0.725,61,197,122,33,25,33,81,421,0.1143,7471,19780,1904,82,1137,3.697,0.1293,0.2776,4e-4,0.0523,0.1586,3e-4,0.0769,0.119,5e-4,0.023,0.0317,6e-4,0.0484,0.1562,0.0967,0.0262,0.0198,0.0262,0.0642,1e-4,628,5.9738,nonTOT
MIL,60,22,73.17073170731707,151,2484360,Donte DiVincenzo,22,SG,27,0,411,212.6533,168.2963,0.1511,0.4919,0.3187,4.8519,0.1582,65,50,124,0.4032,22,83,0.2651,28,41,0.6829,9,12,0.75,16,49,31,13,6,19,38,131,0.0968,7471,19780,1904,82,1137,1.6316,0.1217,0.3017,0.001,0.0535,0.2019,6e-4,0.0681,0.0998,0.0017,0.0219,0.0292,0.0018,0.0389,0.1192,0.0754,0.0316,0.0146,0.0462,0.0925,2e-4,150,2.041,nonTOT
MIL,60,22,73.17073170731707,387,77250,Jaylen Morris,23,SG,4,0,29,35.6376,13.75,0.1716,0.45,0.3448,2.5,0.1724,5,4,10,0.4,1,3,0.3333,3,7,0.4286,1,2,0.5,0,5,4,2,0,1,1,10,0.2,7471,19780,1904,82,1137,4,0.1379,0.3448,0.0138,0.0345,0.1034,0.0115,0.1034,0.2414,0.0148,0.0345,0.069,0.0172,0,0.1724,0.1379,0.069,0,0.0345,0.0345,0.0069,13,0.326,nonTOT
GSW,57,25,69.51219512195121,170,1646400,Jacob Evans,21,SG,30,1,204,99.8084,59.6333,0.135,0.3774,0.1961,1.3333,0.1225,25,18,53,0.3396,4,15,0.2667,14,38,0.3684,0,1,0,6,19,23,5,3,11,28,40,0.0189,7361,19805,1672,82,1169,2.0909,0.0882,0.2598,0.0017,0.0196,0.0735,0.0013,0.0686,0.1863,0.0018,0,0.0049,0,0.0294,0.0931,0.1127,0.0245,0.0147,0.053900000000000003,0.1373,1e-4,49,0.8819,nonTOT
GSW,57,25,69.51219512195121,321,77250,Damion Lee,26,SG,32,0,375,191.2918,173.6562,0.1684,0.5472,0.4213,4.9375,0.1707,64,56,127,0.4409,27,68,0.3971,29,59,0.4915,19,22,0.8636,8,56,13,13,0,11,28,158,0.1732,7361,19805,1672,82,1169,1.1818,0.1493,0.3387,0.0012,0.072,0.1813,0.0011,0.0773,0.1573,0.0013,0.0507,0.0587,0.0023,0.0213,0.1493,0.0347,0.0347,0,0.0293,0.0747,5e-4,163,2.1723,nonTOT
GSW,57,25,69.51219512195121,517,18988725,Klay Thompson,28,SG,78,78,2652,555.0008,1518.5256,0.2557,0.5531,0.6335,21.5385,0.1127,299,655,1402,0.4672,241,599,0.4023,414,803,0.5156,129,158,0.8165,37,262,186,84,47,115,157,1680,0.1127,7361,19805,1672,82,1169,1.6174,0.247,0.5287,2e-4,0.0909,0.2259,2e-4,0.1561,0.3028,2e-4,0.0486,0.0596,3e-4,0.014,0.0988,0.0701,0.0317,0.0177,0.0434,0.0592,0,1405,10.9279,nonTOT
TOR,58,24,70.73170731707317,215,10000000,Danny Green,31,SG,80,80,2216,365.9846,1045.0625,0.1405,0.6222,0.3705,10.2625,0.1431,317,293,630,0.4651,198,435,0.4552,95,195,0.4872,37,44,0.8409,60,257,126,73,53,75,171,821,0.0698,7305,19880,1803,82,1150,1.68,0.1322,0.2843,2e-4,0.0894,0.1963,2e-4,0.0429,0.088,2e-4,0.0167,0.0199,4e-4,0.0271,0.116,0.0569,0.0329,0.0239,0.0338,0.0772,0,971,8.2831,nonTOT
TOR,58,24,70.73170731707317,366,3774176,Jodie Meeks,31,SG,8,0,104,57.0134,54.75,0.1713,0.641,0.4904,6.375,0.1154,12,21,39,0.5385,8,18,0.4444,13,21,0.619,1,1,1,1,11,8,1,1,2,5,51,0.0256,7305,19880,1803,82,1150,4,0.2019,0.375,0.0052,0.0769,0.1731,0.0043,0.125,0.2019,0.006,0.0096,0.0096,0.0096,0.0096,0.1058,0.0769,0.0096,0.0096,0.0192,0.0481,2e-4,53,0.9354,nonTOT
