Tm,W,L,player_id,salary,player_name,Age,Pos,G,GS,MP,TrV,EFF,Tm_use_total,eFGp,PTS_per_MP,PTS_per_game,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTF,Tm_FGA,Tm_MP,Tm_FTA,Tm_G,Tm_TOV,ASTTOVR,FG_MP,FGA_MP,FGp_MP,X3P_MP,X3PA_MP,X3Pp_MP,X2P_MP,X2PA_MP,X2Pp_MP,FT_MP,FTA_MP,FTp_MP,ORB_MP,DRB_MP,TRB_MP,AST_MP,STL_MP,BLK_MP,TOV_MP,PF_MP,FTF_MP,Creds,ApproxV,TOT
MIL,60,22,20,24157304,Giannis Antetokounmpo,24,PF,72,72,2358,703.8491,2802.2778,0.3227,0.599,0.8456,27.6944,721,1247,0.5782,52,203,0.2562,669,1044,0.6408,500,686,0.7289,159,739,898,424,92,110,268,232,1994,0.5501,7471,19780,1904,82,1137,1.5821,0.3058,0.5288,2e-4,0.0221,0.0861,1e-4,0.2837,0.4427,3e-4,0.212,0.2909,3e-4,0.0674,0.3134,0.3808,0.1798,0.039,0.0466,0.1137,0.0984,2e-4,2538,17.0274,nonTOT
MIL,60,22,265,7000000,Ersan Ilyasova,31,PF,67,7,1231,282.101,631.2836,0.157,0.5144,0.368,6.7612,167,381,0.4383,58,160,0.3625,109,221,0.4932,61,74,0.8243,94,208,302,52,32,20,48,172,453,0.1942,7471,19780,1904,82,1137,1.0833,0.1357,0.3095,4e-4,0.0471,0.13,3e-4,0.0885,0.1795,4e-4,0.0496,0.0601,7e-4,0.0764,0.169,0.2453,0.0422,0.026,0.0162,0.039,0.1397,2e-4,584,5.6571,nonTOT
MIL,60,22,563,2534280,DJ Wilson,22,PF,48,3,882,392.9128,423.3333,0.1442,0.506,0.3175,5.8333,104,251,0.4143,46,127,0.3622,58,124,0.4677,26,47,0.5532,45,177,222,52,18,20,32,85,280,0.1873,7471,19780,1904,82,1137,1.625,0.1179,0.2846,5e-4,0.0522,0.144,4e-4,0.0658,0.1406,5e-4,0.0295,0.0533,6e-4,0.051,0.2007,0.2517,0.059,0.0204,0.0227,0.0363,0.0964,2e-4,392,4.1951,nonTOT
GSW,57,25,146,77250,Marcus Derrickson,22,PF,11,0,67,83.8679,42.7273,0.2437,0.6364,0.6866,4.1818,16,33,0.4848,10,20,0.5,6,13,0.4615,4,5,0.8,8,5,13,1,0,1,3,9,46,0.1515,7361,19805,1672,82,1169,0.3333,0.2388,0.4925,0.0072,0.1493,0.2985,0.0075,0.0896,0.194,0.0069,0.0597,0.0746,0.0119,0.1194,0.0746,0.194,0.0149,0,0.0149,0.0448,0.1343,0.0023,40,0.7574,nonTOT
GSW,57,25,214,17469565,Draymond Green,28,PF,66,66,2065,518.4156,1321.4394,0.1306,0.5012,0.2354,7.3636,188,422,0.4455,47,165,0.2848,141,257,0.5486,63,91,0.6923,60,421,481,454,95,70,169,197,486,0.21560000000000001,7361,19805,1672,82,1169,2.6864,0.091,0.2044,2e-4,0.0228,0.0799,1e-4,0.0683,0.1245,3e-4,0.0305,0.0441,3e-4,0.0291,0.2039,0.2329,0.2199,0.046,0.0339,0.0818,0.0954,1e-4,1155,9.4345,nonTOT
GSW,57,25,282,2165481,Jonas Jerebko,31,PF,73,6,1218,295.9871,679.411,0.152,0.5563,0.3768,6.2877,163,355,0.4592,69,188,0.367,94,167,0.5629,64,80,0.8,72,216,288,96,27,18,43,137,459,0.2254,7361,19805,1672,82,1169,2.2326,0.1338,0.2915,4e-4,0.0567,0.1544,3e-4,0.0772,0.1371,5e-4,0.0525,0.0657,7e-4,0.0591,0.1773,0.2365,0.0788,0.0222,0.0148,0.0353,0.1125,2e-4,637,6.0379,nonTOT
TOR,58,24,69,457418,Chris Boucher,26,PF,28,0,163,163.9151,136.75,0.2363,0.5263,0.5706,3.3214,34,76,0.4474,12,37,0.3243,22,39,0.5641,13,15,0.8667,16,40,56,2,6,24,7,31,93,0.1974,7305,19880,1803,82,1150,0.2857,0.2086,0.4663,0.0027,0.0736,0.227,0.002,0.135,0.2393,0.0035,0.0798,0.092,0.0053,0.0982,0.2454,0.3436,0.0123,0.0368,0.1472,0.0429,0.1902,0.0012,130,1.8333,nonTOT
TOR,58,24,482,1544951,Pascal Siakam,24,PF,80,79,2548,692.9919,1783.075,0.2079,0.591,0.5314,16.925,519,945,0.5492,79,214,0.3692,440,731,0.6019,237,302,0.7848,124,425,549,248,73,52,154,241,1354,0.3196,7305,19880,1803,82,1150,1.6104,0.2037,0.3709,2e-4,0.031,0.084,1e-4,0.1727,0.2869,2e-4,0.093,0.1185,3e-4,0.0487,0.1668,0.2155,0.0973,0.0286,0.0204,0.0604,0.0946,1e-4,1631,12.2214,nonTOT
UTA,50,32,106,77250,Tyler Cavanaugh,24,PF,11,0,39,28.2424,10.9091,0.1302,0.35,0.2308,0.8182,3,10,0.3,1,5,0.2,2,5,0.4,2,2,1,3,5,8,1,0,0,1,3,9,0.2,7082,19755,2092,82,1240,1,0.0769,0.2564,0.0077,0.0256,0.1282,0.0051,0.0513,0.1282,0.0103,0.0513,0.0513,0.0256,0.0769,0.1282,0.2051,0.0256,0,0,0.0256,0.0769,0.0051,10,0.2678,nonTOT
UTA,50,32,266,12545455,Joe Ingles,31,PF,82,82,2568,405.4098,1429.6463,0.1746,0.5655,0.3871,12.122,359,802,0.4476,189,483,0.3913,170,319,0.5329,87,123,0.7073,35,295,330,469,98,20,193,180,994,0.1534,7082,19755,2092,82,1240,2.4301,0.1398,0.3123,2e-4,0.0736,0.1881,2e-4,0.0662,0.1242,2e-4,0.0339,0.0479,3e-4,0.0136,0.1149,0.1285,0.1826,0.0382,0.0078,0.0752,0.0701,1e-4,1239,9.9445,nonTOT
UTA,50,32,401,1512601,Georges Niang,25,PF,59,0,516,267.6015,273.6102,0.1778,0.5939,0.4554,3.9831,86,181,0.4751,43,105,0.4095,43,76,0.5658,20,24,0.8333,11,76,87,35,10,6,23,57,235,0.1326,7082,19755,2092,82,1240,1.5217,0.1667,0.3508,9e-4,0.0833,0.2035,8e-4,0.0833,0.1473,0.0011,0.0388,0.0465,0.0016,0.0213,0.1473,0.1686,0.0678,0.0194,0.0116,0.0446,0.1105,3e-4,251,3.0029,nonTOT
HOU,53,29,22,2393887,Carmelo Anthony,34,PF,10,2,294,57.7961,124.2,0.2047,0.4917,0.4558,13.4,49,121,0.405,21,64,0.3281,28,57,0.4912,15,22,0.6818,9,45,54,5,4,7,8,32,134,0.1818,7163,19830,2001,82,1094,0.625,0.1667,0.4116,0.0014,0.0714,0.2177,0.0011,0.0952,0.1939,0.0017,0.051,0.0748,0.0023,0.0306,0.15310000000000001,0.1837,0.017,0.0136,0.0238,0.0272,0.1088,6e-4,117,1.694,nonTOT
HOU,53,29,113,674122,Gary Clark,24,PF,51,2,641,256.3421,226.8627,0.1091,0.4669,0.2309,2.902,50,151,0.3311,41,138,0.2971,9,13,0.6923,7,7,1,24,92,116,18,20,26,7,47,148,0.0464,7163,19830,2001,82,1094,2.5714,0.078,0.2356,5e-4,0.064,0.2153,5e-4,0.014,0.0203,0.0011,0.0109,0.0109,0.0016,0.0374,0.1435,0.181,0.0281,0.0312,0.0406,0.0109,0.0733,1e-4,220,2.7202,nonTOT
HOU,53,29,234,838464,Isaiah Hartenstein,20,PF,28,0,221,165.637,109.5357,0.1182,0.5122,0.2398,1.8929,20,41,0.4878,2,6,0.3333,18,35,0.5143,11,14,0.7857,21,26,47,15,7,12,13,56,53,0.3415,7163,19830,2001,82,1094,1.1538,0.0905,0.1855,0.0022,0.009,0.0271,0.0015,0.0814,0.1584,0.0023,0.0498,0.0633,0.0036,0.095,0.1176,0.2127,0.0679,0.0317,0.0543,0.0588,0.2534,0.0015,97,1.4718,nonTOT
HOU,53,29,295,198579,Terrence Jones,27,PF,2,0,5,4.335,1.5,0.4722,0.25,0.4,1,1,4,0.25,0,2,0,1,2,0.5,0,1,0,0,4,4,0,0,0,1,1,2,0.25,7163,19830,2001,82,1094,0,0.2,0.8,0.05,0,0.4,0,0.2,0.4,0.1,0,0.2,0,0,0.8,0.8,0,0,0,0.2,0.2,0.05,1,0.0476,nonTOT
HOU,53,29,447,1378242,Zhou Qi,23,PF,1,0,1,8.8525,2,0.434,1,2,2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,7163,19830,2001,82,1094,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0801,nonTOT
HOU,53,29,525,7959537,PJ Tucker,33,PF,82,82,2802,266.2303,1012.2317,0.0948,0.5354,0.2145,7.3293,207,523,0.3958,146,387,0.3773,61,136,0.4485,41,59,0.6949,121,358,479,96,132,39,63,252,601,0.1128,7163,19830,2001,82,1094,1.5238,0.0739,0.1867,1e-4,0.0521,0.1381,1e-4,0.0218,0.0485,2e-4,0.0146,0.0211,2e-4,0.0432,0.1278,0.1709,0.0343,0.0471,0.0139,0.0225,0.0899,0,950,8.1484,nonTOT
POR,53,29,15,6957105,Al-Farouq Aminu,28,PF,81,81,2292,516.5056,1215.1111,0.1365,0.5143,0.3316,9.3827,257,593,0.4334,96,280,0.3429,161,313,0.5144,150,173,0.8671,112,498,610,104,68,33,72,143,760,0.2917,7427,19855,1914,82,1135,1.4444,0.1121,0.2587,2e-4,0.0419,0.1222,1e-4,0.0702,0.1366,2e-4,0.0654,0.0755,4e-4,0.0489,0.2173,0.2661,0.0454,0.0297,0.0144,0.0314,0.0624,1e-4,1144,9.367,nonTOT
DEN,54,28,239,2166360,Juan Hernangomez,23,PF,70,25,1358,460.6485,582.4714,0.1223,0.5446,0.3004,5.8286,138,314,0.4395,66,181,0.3646,72,133,0.5414,66,86,0.7674,64,201,265,55,27,24,37,94,408,0.2739,7384,19730,1714,82,1102,1.4865,0.1016,0.2312,3e-4,0.0486,0.1333,3e-4,0.053,0.0979,4e-4,0.0486,0.0633,6e-4,0.0471,0.148,0.1951,0.0405,0.0199,0.0177,0.0272,0.0692,2e-4,546,5.3787,nonTOT
DEN,54,28,341,1874640,Tyler Lydon,22,PF,25,0,94,74.5456,37.84,0.1059,0.6111,0.2447,0.92,9,18,0.5,4,10,0.4,5,8,0.625,1,3,0.3333,7,11,18,6,2,0,4,10,23,0.1667,7384,19730,1714,82,1102,1.5,0.0957,0.1915,0.0053,0.0426,0.1064,0.0043,0.0532,0.0851,0.0066,0.0106,0.0319,0.0035,0.0745,0.117,0.1915,0.0638,0.0213,0,0.0426,0.1064,0.0018,34,0.6705,nonTOT
DEN,54,28,342,3364249,Trey Lyles,23,PF,64,2,1120,458.3504,607.9375,0.2341,0.4697,0.4875,8.5312,207,495,0.4182,51,200,0.255,156,295,0.5288,81,116,0.6983,44,202,246,87,30,23,68,93,546,0.2343,7384,19730,1714,82,1102,1.2794,0.1848,0.442,4e-4,0.0455,0.1786,2e-4,0.1393,0.2634,5e-4,0.0723,0.1036,6e-4,0.0393,0.1804,0.2196,0.0777,0.0268,0.0205,0.0607,0.083,2e-4,541,5.3417,nonTOT
DEN,54,28,375,29230769,Paul Millsap,33,PF,70,65,1895,290.9405,1253.6429,0.196,0.5278,0.466,12.6143,322,665,0.4842,58,159,0.3648,264,506,0.5217,181,249,0.7269,153,352,505,141,83,54,95,183,883,0.3744,7384,19730,1714,82,1102,1.4842,0.1699,0.3509,3e-4,0.0306,0.0839,2e-4,0.1393,0.267,3e-4,0.0955,0.1314,4e-4,0.0807,0.1858,0.2665,0.0744,0.0438,0.0285,0.0501,0.0966,2e-4,1160,9.4651,nonTOT
DEN,54,28,532,838464,Jarred Vanderbilt,19,PF,17,0,69,81.7033,42.5294,0.1943,0.4737,0.3478,1.4118,9,19,0.4737,0,1,0,9,18,0.5,6,10,0.6,7,16,23,3,6,1,8,8,24,0.5263,7384,19730,1714,82,1102,0.375,0.1304,0.2754,0.0069,0,0.0145,0,0.1304,0.2609,0.0072,0.087,0.1449,0.0087,0.1014,0.2319,0.3333,0.0435,0.087,0.0145,0.1159,0.1159,0.0076,35,0.6852,nonTOT
BOS,49,33,237,31214295,Gordon Hayward,28,PF,72,18,1863,489.0667,1104.5417,0.1902,0.5268,0.4428,11.4583,296,635,0.4661,77,231,0.3333,219,404,0.5421,156,187,0.8342,51,271,322,244,62,23,105,104,825,0.2945,7423,19780,1598,82,1052,2.3238,0.1589,0.3408,3e-4,0.0413,0.124,2e-4,0.1176,0.2169,3e-4,0.0837,0.1004,4e-4,0.0274,0.1455,0.1728,0.131,0.0333,0.0123,0.0564,0.0558,2e-4,1001,8.4743,nonTOT
