Tm,W,L,player_id,salary,player_name,Age,Pos,G,GS,MP,TrV,EFF,Tm_use_total,eFGp,PTS_per_MP,PTS_per_game,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTF,Tm_FGA,Tm_MP,Tm_FTA,Tm_G,Tm_TOV,ASTTOVR,FG_MP,FGA_MP,FGp_MP,X3P_MP,X3PA_MP,X3Pp_MP,X2P_MP,X2PA_MP,X2Pp_MP,FT_MP,FTA_MP,FTp_MP,ORB_MP,DRB_MP,TRB_MP,AST_MP,STL_MP,BLK_MP,TOV_MP,PF_MP,FTF_MP,Creds,ApproxV,TOT
MIL,60,22,59,15000000,Eric Bledsoe,29,PG,78,78,2272,521.3251,1615.8846,0.2285,0.5479,0.5462,15.9103,470,971,0.484,124,377,0.3289,346,594,0.5825,177,236,0.75,82,280,362,430,116,29,165,156,1241,0.243,7471,19780,1904,82,1137,2.6061,0.2069,0.4274,2e-4,0.0546,0.1659,1e-4,0.1523,0.2614,3e-4,0.0779,0.1039,3e-4,0.0361,0.1232,0.1593,0.1893,0.0511,0.0128,0.0726,0.0687,1e-4,1453,11.2068,nonTOT
MIL,60,22,161,77250,Trevon Duval,20,PG,3,0,6,24.5246,7,0.2094,0.8333,0.8333,1.6667,2,3,0.6667,1,1,1,1,2,0.5,0,0,0,0,1,1,2,0,0,0,0,5,0,7471,19780,1904,82,1137,Inf,0.3333,0.5,0.1111,0.1667,0.1667,0.1667,0.1667,0.3333,0.0833,0,0,0,0,0.1667,0.1667,0.3333,0,0,0,0,0,7,0.2049,nonTOT
GSW,57,25,121,1544951,Quinn Cook,25,PG,74,10,1059,413.5028,563.3243,0.202,0.5569,0.4806,6.8784,204,439,0.4647,81,200,0.405,123,239,0.5146,20,26,0.7692,22,135,157,116,20,3,50,92,509,0.0592,7361,19805,1672,82,1169,2.32,0.1926,0.4145,4e-4,0.0765,0.1889,4e-4,0.1161,0.2257,5e-4,0.0189,0.0246,7e-4,0.0208,0.1275,0.1483,0.1095,0.0189,0.0028,0.0472,0.0869,1e-4,514,5.1405,nonTOT
GSW,57,25,132,37457154,Stephen Curry,30,PG,69,69,2331,505.329,1993.2174,0.3041,0.6037,0.8069,27.2609,632,1340,0.4716,354,810,0.437,278,530,0.5245,263,287,0.9164,45,324,369,361,92,25,192,166,1881,0.2142,7361,19805,1672,82,1169,1.8802,0.2711,0.5749,2e-4,0.1519,0.3475,2e-4,0.1193,0.2274,2e-4,0.1128,0.1231,4e-4,0.0193,0.139,0.1583,0.1549,0.0395,0.0107,0.0824,0.0712,1e-4,1804,13.1813,nonTOT
GSW,57,25,330,8307692,Shaun Livingston,33,PG,64,0,967,164.2056,434.4062,0.1196,0.519,0.2668,4.0312,109,210,0.519,0,2,0,109,208,0.524,40,51,0.7843,42,75,117,114,31,27,38,74,258,0.2429,7361,19805,1672,82,1169,3,0.1127,0.2172,5e-4,0,0.0021,0,0.1127,0.2151,5e-4,0.0414,0.0527,8e-4,0.0434,0.0776,0.121,0.1179,0.0321,0.0279,0.0393,0.0765,3e-4,397,4.2352,nonTOT
TOR,58,24,84,800000,Lorenzo Brown,28,PG,26,0,212,90.4837,82.3846,0.1791,0.3662,0.2594,2.1154,23,71,0.3239,6,28,0.2143,17,43,0.3953,3,3,1,5,26,31,28,12,5,16,22,55,0.0423,7305,19880,1803,82,1150,1.75,0.1085,0.3349,0.0015,0.0283,0.1321,0.001,0.0802,0.2028,0.0019,0.0142,0.0142,0.0047,0.0236,0.1226,0.1462,0.1321,0.0566,0.0236,0.0755,0.1038,2e-4,67,1.1152,nonTOT
TOR,58,24,337,32700000,Kyle Lowry,32,PG,65,65,2213,358.2211,1453.2,0.1955,0.5176,0.4184,14.2462,304,739,0.4114,157,453,0.3466,147,286,0.514,161,194,0.8299,41,271,312,564,91,31,182,166,926,0.2625,7305,19880,1803,82,1150,3.0989,0.1374,0.3339,2e-4,0.0709,0.2047,2e-4,0.0664,0.1292,2e-4,0.0728,0.0877,4e-4,0.0185,0.1225,0.141,0.2549,0.0411,0.014,0.0822,0.075,1e-4,1274,10.1545,nonTOT
TOR,58,24,338,77250,Jordan Loyd,25,PG,12,0,55,60.6454,31.8333,0.1942,0.5556,0.5273,2.4167,8,18,0.4444,4,8,0.5,4,10,0.4,9,11,0.8182,1,8,9,6,0,0,2,5,29,0.6111,7305,19880,1803,82,1150,3,0.1455,0.3273,0.0081,0.0727,0.1455,0.0091,0.0727,0.1818,0.0073,0.1636,0.2,0.0149,0.0182,0.1455,0.1636,0.1091,0,0,0.0364,0.0909,0.0111,30,0.6104,nonTOT
TOR,58,24,533,8653847,Fred VanVleet,24,PG,64,28,1760,540.2005,878.7188,0.179,0.5033,0.3983,10.9531,246,600,0.41,112,296,0.3784,134,304,0.4408,97,115,0.8435,21,146,167,307,57,20,82,110,701,0.1917,7305,19880,1803,82,1150,3.7439,0.1398,0.3409,2e-4,0.0636,0.1682,2e-4,0.0761,0.1727,3e-4,0.0551,0.0653,5e-4,0.0119,0.083,0.0949,0.1744,0.0324,0.0114,0.0466,0.0625,1e-4,798,7.1496,nonTOT
UTA,50,32,173,10600000,Dante Exum,23,PG,42,1,664,306.8522,325.7619,0.213,0.4564,0.4337,6.8571,101,241,0.4191,18,62,0.2903,83,179,0.4637,68,86,0.7907,16,52,68,110,14,5,52,69,288,0.3568,7082,19755,2092,82,1240,2.1154,0.1521,0.363,6e-4,0.0271,0.0934,4e-4,0.125,0.2696,7e-4,0.1024,0.1295,0.0012,0.0241,0.0783,0.1024,0.1657,0.0211,0.0075,0.0783,0.1039,5e-4,275,3.2157,nonTOT
