Tm,W,L,player_id,salary,player_name,Age,Pos,G,GS,MP,TrV,EFF,Tm_use_total,eFGp,PTS_per_MP,PTS_per_game,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTF,Tm_FGA,Tm_MP,Tm_FTA,Tm_G,Tm_TOV,ASTTOVR,FG_MP,FGA_MP,FGp_MP,X3P_MP,X3PA_MP,X3Pp_MP,X2P_MP,X2PA_MP,X2Pp_MP,FT_MP,FTA_MP,FTp_MP,ORB_MP,DRB_MP,TRB_MP,AST_MP,STL_MP,BLK_MP,TOV_MP,PF_MP,FTF_MP,Creds,ApproxV,TOT
MIL,60,22,118,77250,Bonzie Colson,23,SF,8,2,98,92.5987,50.625,0.1964,0.3974,0.398,4.875,13,39,0.3333,5,21,0.2381,8,18,0.4444,8,9,0.8889,8,22,30,3,5,1,3,3,39,0.2308,7471,19780,1904,82,1137,1,0.1327,0.398,0.0034,0.051,0.2143,0.0024,0.0816,0.1837,0.0045,0.0816,0.0918,0.0091,0.0816,0.2245,0.3061,0.0306,0.051,0.0102,0.0306,0.0306,0.0024,48,0.8684,nonTOT
MIL,60,22,370,13000000,Khris Middleton,27,SF,77,77,2393,592.594,1599.7403,0.2512,0.5187,0.588,18.2727,506,1148,0.4408,179,474,0.3776,327,674,0.4852,216,258,0.8372,50,411,461,331,80,7,174,172,1407,0.2247,7471,19780,1904,82,1137,1.9023,0.2115,0.4797,2e-4,0.0748,0.1981,2e-4,0.1366,0.2817,2e-4,0.0903,0.10780000000000001,3e-4,0.0209,0.1718,0.1926,0.1383,0.0334,0.0029,0.0727,0.0719,1e-4,1428,11.0618,nonTOT
MIL,60,22,496,10607143,Tony Snell,27,SF,74,12,1304,361.2812,509.6892,0.1293,0.5637,0.3405,6,163,361,0.4515,81,204,0.3971,82,157,0.5223,37,42,0.881,29,128,157,68,26,18,23,90,444,0.1163,7471,19780,1904,82,1137,2.9565,0.125,0.2768,3e-4,0.0621,0.1564,3e-4,0.0629,0.1204,4e-4,0.0284,0.0322,7e-4,0.0222,0.0982,0.1204,0.0521,0.0199,0.0138,0.0176,0.069,1e-4,487,4.9366,nonTOT
GSW,57,25,160,30000000,Kevin Durant,30,SF,78,78,2702,519.9204,2400.1154,0.2896,0.5709,0.7502,25.9872,721,1383,0.5213,137,388,0.3531,584,995,0.5869,448,506,0.8854,33,464,497,457,58,84,225,155,2027,0.3659,7361,19805,1672,82,1169,2.0311,0.2668,0.5118,2e-4,0.0507,0.1436,1e-4,0.2161,0.3682,2e-4,0.1658,0.1873,3e-4,0.0122,0.1717,0.1839,0.1691,0.0215,0.0311,0.0833,0.0574,1e-4,2178,15.1818,nonTOT
GSW,57,25,264,16000000,Andre Iguodala,35,SF,68,13,1578,135.3611,789.2353,0.1039,0.5795,0.2465,5.7206,151,302,0.5,48,144,0.3333,103,158,0.6519,39,67,0.5821,48,204,252,216,61,51,52,95,389,0.2219,7361,19805,1672,82,1169,4.1538,0.0957,0.1914,3e-4,0.0304,0.0913,2e-4,0.0653,0.1001,4e-4,0.0247,0.0425,4e-4,0.0304,0.1293,0.1597,0.1369,0.0387,0.0323,0.033,0.0602,1e-4,738,6.7425,nonTOT
GSW,57,25,363,1349383,Alfonzo McKinnie,26,SF,72,5,1003,368.0418,485.5833,0.139,0.5636,0.336,4.6806,134,275,0.4873,42,118,0.3559,92,157,0.586,27,48,0.5625,81,166,247,31,18,15,30,134,337,0.1745,7361,19805,1672,82,1169,1.0333,0.1336,0.2742,5e-4,0.0419,0.1176,4e-4,0.0917,0.1565,6e-4,0.0269,0.0479,6e-4,0.0808,0.1655,0.2463,0.0309,0.0179,0.015,0.0299,0.1336,2e-4,456,4.699,nonTOT
TOR,58,24,23,1952760,OG Anunoby,21,SF,67,6,1352,451.6761,533.1791,0.1546,0.5359,0.3469,7,183,404,0.453,67,202,0.3317,116,202,0.5743,36,62,0.5806,58,139,197,47,46,22,55,140,469,0.1535,7305,19880,1803,82,1150,0.8545,0.1354,0.2988,3e-4,0.0496,0.1494,2e-4,0.0858,0.1494,4e-4,0.0266,0.0459,4e-4,0.0429,0.1028,0.1457,0.0348,0.034,0.0163,0.0407,0.1036,1e-4,479,4.8756,nonTOT
TOR,58,24,324,23114066,Kawhi Leonard,27,SF,60,60,2040,611.8859,1730.9833,0.3029,0.5456,0.7824,26.6,560,1129,0.496,112,302,0.3709,448,827,0.5417,364,426,0.8545,78,361,439,199,106,24,121,87,1596,0.3773,7305,19880,1803,82,1150,1.6446,0.2745,0.5534,2e-4,0.0549,0.148,2e-4,0.2196,0.4054,3e-4,0.1784,0.2088,4e-4,0.0382,0.177,0.2152,0.0975,0.052,0.0118,0.0593,0.0426,2e-4,1612,12.1145,nonTOT
TOR,58,24,373,457418,Malcolm Miller,25,SF,10,0,67,54.6235,26.9,0.1845,0.6154,0.5224,3.5,11,26,0.4231,10,21,0.4762,1,5,0.2,3,4,0.75,1,4,5,1,1,1,1,5,35,0.1538,7305,19880,1803,82,1150,1,0.1642,0.3881,0.0063,0.1493,0.3134,0.0071,0.0149,0.0746,0.003,0.0448,0.0597,0.0112,0.0149,0.0597,0.0746,0.0149,0.0149,0.0149,0.0149,0.0746,0.0023,26,0.5483,nonTOT
UTA,50,32,130,7305825,Jae Crowder,28,SF,80,11,2166,476.6778,1027.9375,0.1912,0.5075,0.4391,11.8875,318,797,0.399,173,522,0.3314,145,275,0.5273,142,197,0.7208,60,324,384,133,64,31,85,170,951,0.2472,7082,19755,2092,82,1240,1.5647,0.1468,0.368,2e-4,0.0799,0.241,2e-4,0.0669,0.127,2e-4,0.0656,0.091,3e-4,0.0277,0.1496,0.1773,0.0614,0.0295,0.0143,0.0392,0.0785,1e-4,944,8.1098,nonTOT
