Tm,Tm_MP,Tm_FGA,Tm_FTA,Tm_TOV,Tm_G,player_name,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
TOT,NA,NA,NA,NA,NA,Ryan Anderson,PF,30,25,8,322,21,69,0.304,9,40,0.225,12,29,0.414,0.37,12,16,0.75,18,36,54,19,4,1,14,25,63
TOT,NA,NA,NA,NA,NA,Trevor Ariza,SF,33,69,69,2349,294,736,0.399,145,434,0.334,149,302,0.493,0.498,130,164,0.793,50,321,371,252,91,21,106,130,863
TOT,NA,NA,NA,NA,NA,Ron Baker,SG,25,15,0,152,4,20,0.2,1,13,0.077,3,7,0.429,0.225,5,6,0.833,1,10,11,15,6,1,5,18,14
TOT,NA,NA,NA,NA,NA,Harrison Barnes,PF-SF,26,77,77,2533,431,1027,0.42,174,441,0.395,257,586,0.439,0.504,229,278,0.824,57,304,361,115,50,13,98,122,1265
TOT,NA,NA,NA,NA,NA,Avery Bradley,SG,28,63,63,1905,248,608,0.408,86,245,0.351,162,363,0.446,0.479,43,50,0.86,43,132,175,152,41,16,89,167,625
TOT,NA,NA,NA,NA,NA,Corey Brewer,SF,32,31,3,492,53,123,0.431,14,44,0.318,39,79,0.494,0.488,31,43,0.721,26,50,76,39,32,7,19,63,151
TOT,NA,NA,NA,NA,NA,Reggie Bullock,SG,27,63,60,1879,245,594,0.412,148,393,0.377,97,201,0.483,0.537,73,85,0.859,22,151,173,129,40,12,65,109,711
TOT,NA,NA,NA,NA,NA,Trey Burke,PG,26,58,8,1125,236,548,0.431,56,159,0.352,180,389,0.463,0.482,103,124,0.831,28,71,99,159,33,7,49,58,631
TOT,NA,NA,NA,NA,NA,Alec Burks,SG,27,64,24,1375,192,474,0.405,61,168,0.363,131,306,0.428,0.469,116,141,0.823,30,205,235,128,39,21,65,91,561
TOT,NA,NA,NA,NA,NA,Jimmy Butler,SF-SG,29,65,65,2185,418,904,0.462,67,193,0.347,351,711,0.494,0.499,312,365,0.855,121,221,342,263,123,39,95,111,1215
TOT,NA,NA,NA,NA,NA,Isaiah Canaan,PG,27,30,16,629,64,164,0.39,34,96,0.354,30,68,0.441,0.494,19,24,0.792,6,52,58,84,14,2,35,52,181
TOT,NA,NA,NA,NA,NA,Michael Carter-Williams,PG,27,28,1,372,46,123,0.374,10,38,0.263,36,85,0.424,0.415,32,53,0.604,19,51,70,70,20,15,20,48,134
TOT,NA,NA,NA,NA,NA,Tyson Chandler,C,36,55,6,875,61,99,0.616,0,1,0,61,98,0.622,0.616,51,87,0.586,92,215,307,37,21,23,42,110,173
TOT,NA,NA,NA,NA,NA,Wilson Chandler,PF-SF,31,51,33,1177,114,273,0.418,59,158,0.373,55,115,0.478,0.526,18,25,0.72,48,167,215,82,25,21,46,123,305
TOT,NA,NA,NA,NA,NA,Marquese Chriss,PF,21,43,2,499,67,180,0.372,16,72,0.222,51,108,0.472,0.417,32,45,0.711,40,102,142,22,17,11,36,81,182
TOT,NA,NA,NA,NA,NA,Robert Covington,SF,28,35,35,1203,156,362,0.431,85,225,0.378,71,137,0.518,0.548,68,89,0.764,28,165,193,46,74,47,47,126,465
TOT,NA,NA,NA,NA,NA,Mitch Creek,SF,26,5,0,48,8,16,0.5,0,2,0,8,14,0.571,0.5,5,7,0.714,6,6,12,6,2,0,1,3,21
TOT,NA,NA,NA,NA,NA,Sam Dekker,PF,24,47,5,788,120,256,0.469,19,62,0.306,101,194,0.521,0.506,28,46,0.609,53,95,148,46,38,7,24,47,287
TOT,NA,NA,NA,NA,NA,Matthew Dellavedova,PG,28,48,0,812,98,242,0.405,44,130,0.338,54,112,0.482,0.496,42,52,0.808,6,71,77,181,14,2,68,75,282
TOT,NA,NA,NA,NA,NA,Tyler Dorsey,SG,22,48,11,698,107,264,0.405,44,132,0.333,63,132,0.477,0.489,38,61,0.623,27,86,113,56,14,2,27,53,296
TOT,NA,NA,NA,NA,NA,Henry Ellenson,PF,22,19,0,259,39,95,0.411,17,38,0.447,22,57,0.386,0.5,19,25,0.76,5,61,66,16,7,2,9,27,114
TOT,NA,NA,NA,NA,NA,Wayne Ellington,SG,31,53,38,1297,184,457,0.403,138,372,0.371,46,85,0.541,0.554,39,49,0.796,14,93,107,72,54,6,40,92,545
TOT,NA,NA,NA,NA,NA,James Ennis,SF,28,58,27,1230,138,294,0.469,55,156,0.353,83,138,0.601,0.563,58,81,0.716,60,122,182,41,41,23,34,150,389
TOT,NA,NA,NA,NA,NA,Jawun Evans,PG,22,8,0,65,3,14,0.214,0,3,0,3,11,0.273,0.214,0,0,0,1,11,12,10,3,0,6,8,6
TOT,NA,NA,NA,NA,NA,Kenneth Faried,C,29,37,13,728,156,265,0.589,8,25,0.32,148,240,0.617,0.604,64,99,0.646,97,153,250,20,17,23,33,82,384
TOT,NA,NA,NA,NA,NA,Tim Frazier,PG,28,59,19,1120,116,261,0.444,37,101,0.366,79,160,0.494,0.515,41,54,0.759,41,127,168,248,30,5,76,112,310
TOT,NA,NA,NA,NA,NA,Marc Gasol,C,34,79,72,2436,390,870,0.448,99,273,0.363,291,597,0.487,0.505,192,253,0.759,80,547,627,349,84,86,155,217,1071
TOT,NA,NA,NA,NA,NA,Pau Gasol,C,38,30,6,360,42,94,0.447,6,13,0.462,36,81,0.444,0.479,28,40,0.7,22,115,137,52,5,15,16,29,118
TOT,NA,NA,NA,NA,NA,JaMychal Green,PF,28,65,6,1371,230,476,0.483,71,176,0.403,159,300,0.53,0.558,80,101,0.792,104,305,409,50,45,34,87,193,611
TOT,NA,NA,NA,NA,NA,Tim Hardaway,SG,26,65,63,2057,390,993,0.393,162,477,0.34,228,516,0.442,0.474,232,276,0.841,33,189,222,159,54,8,105,141,1174
TOT,NA,NA,NA,NA,NA,Tobias Harris,PF,26,82,82,2847,611,1254,0.487,156,393,0.397,455,861,0.528,0.549,266,307,0.866,69,576,645,229,51,37,151,184,1644
TOT,NA,NA,NA,NA,NA,Andrew Harrison,PG,24,17,0,187,16,53,0.302,5,25,0.2,11,28,0.393,0.349,17,18,0.944,6,14,20,24,4,2,12,34,54
TOT,NA,NA,NA,NA,NA,George Hill,PG,32,60,13,1302,170,376,0.452,48,153,0.314,122,223,0.547,0.516,70,85,0.824,39,109,148,135,52,8,51,102,458
TOT,NA,NA,NA,NA,NA,Justin Holiday,SG,29,82,77,2607,300,777,0.386,162,465,0.348,138,312,0.442,0.49,95,106,0.896,46,277,323,146,121,36,104,164,857
TOT,NA,NA,NA,NA,NA,Rodney Hood,SG,26,72,49,1893,292,671,0.435,84,236,0.356,208,435,0.478,0.498,137,155,0.884,25,132,157,126,59,12,55,146,805
TOT,NA,NA,NA,NA,NA,Justin Jackson,SF,23,81,14,1614,217,485,0.447,87,245,0.355,130,240,0.542,0.537,62,79,0.785,44,168,212,96,32,14,29,99,583
TOT,NA,NA,NA,NA,NA,John Jenkins,SG,27,26,0,333,42,105,0.4,22,58,0.379,20,47,0.426,0.505,15,18,0.833,6,31,37,22,0,2,9,10,121
TOT,NA,NA,NA,NA,NA,BJ Johnson,SF,23,7,0,49,9,18,0.5,3,7,0.429,6,11,0.545,0.583,2,2,1,2,6,8,0,2,0,2,4,23
TOT,NA,NA,NA,NA,NA,Stanley Johnson,SF,22,66,7,1208,171,440,0.389,62,215,0.288,109,225,0.484,0.459,50,64,0.781,34,183,217,88,60,14,81,114,454
TOT,NA,NA,NA,NA,NA,Tyler Johnson,PG,26,57,22,1529,217,526,0.413,90,260,0.346,127,266,0.477,0.498,95,127,0.748,34,139,173,166,54,27,77,97,619
TOT,NA,NA,NA,NA,NA,Wesley Johnson,SF,31,38,13,534,45,128,0.352,25,76,0.329,20,52,0.385,0.449,13,19,0.684,12,60,72,23,14,12,18,63,128
TOT,NA,NA,NA,NA,NA,DeAndre Jordan,C,30,69,69,2047,286,446,0.641,0,0,0,286,446,0.641,0.641,186,264,0.705,225,677,902,156,42,73,153,167,758
TOT,NA,NA,NA,NA,NA,Enes Kanter,C,26,67,31,1640,375,683,0.549,10,34,0.294,365,649,0.562,0.556,155,197,0.787,257,402,659,116,32,26,118,167,915
TOT,NA,NA,NA,NA,NA,Brandon Knight,PG,27,39,26,736,99,260,0.381,41,129,0.318,58,131,0.443,0.46,27,34,0.794,10,49,59,71,21,2,30,62,266
TOT,NA,NA,NA,NA,NA,Kyle Korver,SG-PF,37,70,0,1334,201,483,0.416,138,348,0.397,63,135,0.467,0.559,60,73,0.822,9,153,162,81,25,12,59,106,600
TOT,NA,NA,NA,NA,NA,Skal Labissiere,PF,22,22,1,176,26,49,0.531,6,13,0.462,20,36,0.556,0.592,9,17,0.529,9,34,43,11,5,6,11,29,67
TOT,NA,NA,NA,NA,NA,Courtney Lee,SG,33,34,6,428,53,129,0.411,16,55,0.291,37,74,0.5,0.473,14,21,0.667,9,45,54,37,21,3,14,32,136
TOT,NA,NA,NA,NA,NA,Jeremy Lin,PG,30,74,4,1436,238,541,0.44,55,187,0.294,183,354,0.517,0.491,176,210,0.838,22,157,179,231,47,13,124,144,707
TOT,NA,NA,NA,NA,NA,Timothe Luwawu,SF,23,50,7,669,82,218,0.376,36,116,0.31,46,102,0.451,0.459,31,41,0.756,11,86,97,26,19,8,21,73,231
TOT,NA,NA,NA,NA,NA,Shelvin Mack,PG,28,57,3,1246,163,403,0.404,46,130,0.354,117,273,0.429,0.462,58,84,0.69,18,86,104,183,47,4,66,84,430
TOT,NA,NA,NA,NA,NA,Thon Maker,C-PF,21,64,5,972,109,268,0.407,49,153,0.32,60,115,0.522,0.498,56,84,0.667,41,161,202,45,21,51,33,105,323
TOT,NA,NA,NA,NA,NA,Boban Marjanovic,C,30,58,12,681,160,260,0.615,4,10,0.4,156,250,0.624,0.623,98,131,0.748,87,178,265,54,16,27,59,90,422
TOT,NA,NA,NA,NA,NA,Wesley Matthews,SF-SG,32,69,68,2091,279,698,0.4,150,403,0.372,129,295,0.437,0.507,132,163,0.81,32,138,170,160,54,17,91,160,840
TOT,NA,NA,NA,NA,NA,Patrick McCaw,SG,23,29,1,397,26,63,0.413,9,28,0.321,17,35,0.486,0.484,13,15,0.867,7,41,48,29,23,2,17,38,74
TOT,NA,NA,NA,NA,NA,CJ Miles,SF,31,53,1,856,112,311,0.36,67,203,0.33,45,108,0.417,0.468,48,58,0.828,13,82,95,36,26,15,30,79,339
TOT,NA,NA,NA,NA,NA,Nikola Mirotic,PF,27,46,25,1245,238,542,0.439,116,318,0.365,122,224,0.545,0.546,105,124,0.847,60,279,339,55,31,34,48,107,697
