player_id,salary,player_name,Age,Pos,Tm,G,GS,MP,TrV,EFF,Tm_use_total,eFGp,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTF,PTS_per_game,Tm_FGA,Tm_MP,Tm_FTA,Tm_G,Tm_TOV,ASTTOVR,FG_MP,FGA_MP,FGp_MP,X3P_MP,X3PA_MP,X3Pp_MP,X2P_MP,X2PA_MP,X2Pp_MP,FT_MP,FTA_MP,FTp_MP,ORB_MP,DRB_MP,TRB_MP,AST_MP,STL_MP,BLK_MP,TOV_MP,PF_MP,PTS_per_MP,FTF_MP,Creds,ApproxV
20,24157304,Giannis Antetokounmpo,24,PF,MIL,72,72,2358,703.8491,2802.2778,0.3227,0.599,721,1247,0.5782,52,203,0.2562,669,1044,0.6408,500,686,0.7289,159,739,898,424,92,110,268,232,1994,0.5501,27.6944,7471,19780,1904,82,1137,1.5821,0.3058,0.5288,2e-4,0.0221,0.0861,1e-4,0.2837,0.4427,3e-4,0.212,0.2909,3e-4,0.0674,0.3134,0.3808,0.1798,0.039,0.0466,0.1137,0.0984,0.8456,2e-4,2538,17.0274
59,15000000,Eric Bledsoe,29,PG,MIL,78,78,2272,521.3251,1615.8846,0.2285,0.5479,470,971,0.484,124,377,0.3289,346,594,0.5825,177,236,0.75,82,280,362,430,116,29,165,156,1241,0.243,15.9103,7471,19780,1904,82,1137,2.6061,0.2069,0.4274,2e-4,0.0546,0.1659,1e-4,0.1523,0.2614,3e-4,0.0779,0.1039,3e-4,0.0361,0.1232,0.1593,0.1893,0.0511,0.0128,0.0726,0.0687,0.5462,1e-4,1453,11.2068
77,1544951,Malcolm Brogdon,26,SG,MIL,64,64,1832,566.8405,1170.5781,0.2071,0.5749,378,748,0.5053,104,244,0.4262,274,504,0.5437,141,152,0.9276,65,223,288,205,46,13,91,102,1001,0.2032,15.6406,7471,19780,1904,82,1137,2.2527,0.2063,0.4083,3e-4,0.0568,0.1332,2e-4,0.1496,0.2751,3e-4,0.077,0.083,5e-4,0.0355,0.1217,0.1572,0.1119,0.0251,0.0071,0.0497,0.0557,0.5464,1e-4,1081,8.9774
82,1378242,Sterling Brown,23,SG,MIL,58,7,1034,411.8727,492.2069,0.1525,0.5497,145,312,0.4647,53,147,0.3605,92,165,0.5576,29,42,0.6905,29,155,184,84,25,8,46,88,372,0.1346,6.4138,7471,19780,1904,82,1137,1.8261,0.1402,0.3017,4e-4,0.0513,0.1422,3e-4,0.089,0.1596,5e-4,0.028,0.0406,7e-4,0.028,0.1499,0.1779,0.0812,0.0242,0.0077,0.0445,0.0851,0.3598,1e-4,447,4.6293
95,744671,Isaiah Canaan,27,"PG, PG, PG","MIL, MIN, PHO",30,16,629,206.2651,232.8333,0.4043,0.4939,64,164,0.3902,34,96,0.3542,30,68,0.4412,19,24,0.7917,6,52,58,84,14,2,35,52,181,0.1463,6.0333,7471,19780,1904,82,1137,2.4,0.1017,0.2607,6e-4,0.0541,0.1526,6e-4,0.0477,0.1081,7e-4,0.0302,0.0382,0.0013,0.0095,0.0827,0.0922,0.1335,0.0223,0.0032,0.0556,0.0827,0.2878,2e-4,199,2.523
118,77250,Bonzie Colson,23,SF,MIL,8,2,98,92.5987,50.625,0.1964,0.3974,13,39,0.3333,5,21,0.2381,8,18,0.4444,8,9,0.8889,8,22,30,3,5,1,3,3,39,0.2308,4.875,7471,19780,1904,82,1137,1,0.1327,0.398,0.0034,0.051,0.2143,0.0024,0.0816,0.1837,0.0045,0.0816,0.0918,0.0091,0.0816,0.2245,0.3061,0.0306,0.051,0.0102,0.0306,0.0306,0.398,0.0024,48,0.8684
120,1641000,Pat Connaughton,26,SG,MIL,61,2,1261,439.8413,660.459,0.1331,0.56,163,350,0.4657,66,200,0.33,97,150,0.6467,29,40,0.725,61,197,258,122,33,25,33,81,421,0.1143,6.9016,7471,19780,1904,82,1137,3.697,0.1293,0.2776,4e-4,0.0523,0.1586,3e-4,0.0769,0.119,5e-4,0.023,0.0317,6e-4,0.0484,0.1562,0.2046,0.0967,0.0262,0.0198,0.0262,0.0642,0.3339,1e-4,628,5.9738
142,9607500,Matthew Dellavedova,28,"PG, PG","MIL, CLE",48,0,812,269.3185,400.5833,0.3213,0.4959,98,242,0.405,44,130,0.3385,54,112,0.4821,42,52,0.8077,6,71,77,181,14,2,68,75,282,0.2149,5.875,7471,19780,1904,82,1137,2.6618,0.1207,0.298,5e-4,0.0542,0.1601,4e-4,0.0665,0.1379,6e-4,0.0517,0.064,0.001,0.0074,0.0874,0.0948,0.2229,0.0172,0.0025,0.0837,0.0924,0.3473,3e-4,334,3.7204
151,2484360,Donte DiVincenzo,22,SG,MIL,27,0,411,212.6533,168.2963,0.1511,0.4919,50,124,0.4032,22,83,0.2651,28,41,0.6829,9,12,0.75,16,49,65,31,13,6,19,38,131,0.0968,4.8519,7471,19780,1904,82,1137,1.6316,0.1217,0.3017,0.001,0.0535,0.2019,6e-4,0.0681,0.0998,0.0017,0.0219,0.0292,0.0018,0.0389,0.1192,0.1582,0.0754,0.0316,0.0146,0.0462,0.0925,0.3187,2e-4,150,2.041
161,77250,Trevon Duval,20,PG,MIL,3,0,6,24.5246,7,0.2094,0.8333,2,3,0.6667,1,1,1,1,2,0.5,0,0,0,0,1,1,2,0,0,0,0,5,0,1.6667,7471,19780,1904,82,1137,Inf,0.3333,0.5,0.1111,0.1667,0.1667,0.1667,0.1667,0.3333,0.0833,0,0,0,0,0.1667,0.1667,0.3333,0,0,0,0,0.8333,0,7,0.2049
